"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","134","Пользователь может открыть карточку товара","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
"","189","Пользователь может удалить товар из корзины со страницы товаров","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
"","413","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","320","Пользователь может удалить товар из корзины","tests","2026-03-30","passed","2026-03-30","TestCartPage","test_cart_page","",""
"","147","Пользователь может отменить заполнение формы и вернуться в cart","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","840","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","215","Пользователь видит добавленный товар в корзине","tests","2026-03-30","passed","2026-03-30","TestCartPage","test_cart_page","",""
"","363","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1305","Пользователь может пройти полный цикл checkout flow","tests.e2e","2026-03-30","passed","2026-03-30","","test_e2e","",""
"","385","Пользователь может перейти к оформлению заказа","tests","2026-03-30","passed","2026-03-30","TestCartPage","test_cart_page","",""
"","1116","Пользователь видит ошибку при неуспешной попытке входа","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","518","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","156","Пользователь может отменить checkout и вернуться к products","tests","2026-03-30","passed","2026-03-30","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","240","Пользователь может завершить checkout с overview страницы","tests","2026-03-30","passed","2026-03-30","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1127","Пользователь видит ошибку при неуспешной попытке входа","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","211","Пользователь видит подтверждение заказа и может вернуться к товарам","tests","2026-03-30","passed","2026-03-30","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","1469","Пользователь может пройти полный цикл checkout flow","tests.e2e","2026-03-30","passed","2026-03-30","","test_e2e_product_details_page","",""
"","926","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","17","Пользователь видит добавленный товар на overview странице","tests","2026-03-30","passed","2026-03-30","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","554","Пользователь может перейти к overview с валидными данными","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","313","Пользователь может вернуться к списку товаров","tests","2026-03-30","passed","2026-03-30","TestCartPage","test_cart_page","",""
"","194","Пользователь может отсортировать товары по цене","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
"","172","Пользователь может отсортировать товары по цене","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
"","1109","Пользователь может войти с валидными данными","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","336","Пользователь может добавить товар в корзину","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
